ticket_id,device_type,error_code,wait_time_minutes,reported_severity,reopened_count,resolution_notes_length,response_tier
TCK-0193,desktop,E33,19.8,high,0,38,assign_technician
TCK-0190,projector,E33,25.7,low,1,124,assign_technician
TCK-0113,laptop,E33,7.1,high,1,5,assign_technician
TCK-0182,network,E47,8.4,low,0,55,log_only
TCK-0184,laptop,E52,25.8,high,2,47,escalate_now
TCK-0153,network,E21,12.6,,1,106,assign_technician
TCK-0057,desktop,E21,31.5,medium,2,94,assign_technician
TCK-0070,laptop,E21,1.0,medium,0,111,log_only
TCK-0192,projector,E33,7.7,high,2,44,escalate_now
TCK-0045,printer,E33,31.2,medium,0,18,escalate_now
TCK-0189,printer,E33,19.0,low,0,131,log_only
TCK-0020,laptop,E21,39.7,low,2,74,assign_technician
TCK-0007,projector,E21,4.8,low,0,90,log_only
TCK-0056,desktop,E47,18.4,low,0,111,log_only
TCK-0076,network,E21,20.7,medium,0,107,log_only
TCK-0001,laptop,E21,40.1,low,1,122,assign_technician
TCK-0173,printer,,21.3,medium,0,34,log_only
TCK-0136,desktop,E21,7.7,low,1,70,log_only
TCK-0128,laptop,E47,53.8,low,0,56,assign_technician
TCK-0177,laptop,E10,38.7,low,2,50,assign_technician
TCK-0069,printer,E47,26.5,low,1,68,log_only
TCK-0168,projector,E52,13.4,low,0,106,log_only
TCK-0137,printer,E10,32.6,medium,1,63,assign_technician
TCK-0219,printer,E21,37.7,low,1,54,log_only
TCK-0043,desktop,E52,31.3,low,3,67,escalate_now
TCK-0111,desktop,E33,37.0,medium,1,88,log_only
TCK-0090,desktop,,2.4,low,0,98,log_only
TCK-0073,printer,E47,22.3,low,0,81,log_only
TCK-0024,desktop,E47,26.4,high,1,74,assign_technician
TCK-0143,laptop,E47,27.4,,0,109,assign_technician
TCK-0186,printer,E10,9.0,low,0,59,log_only
TCK-0093,laptop,E33,29.2,medium,0,70,assign_technician
TCK-0104,printer,E21,21.8,low,0,40,log_only
TCK-0152,network,E21,31.6,low,1,105,assign_technician
TCK-0212,laptop,E10,33.7,medium,1,82,log_only
TCK-0068,desktop,E52,30.6,medium,1,65,assign_technician
TCK-0026,network,E10,12.6,high,2,101,escalate_now
TCK-0197,projector,E21,23.2,medium,0,20,log_only
TCK-0176,network,E33,17.3,low,1,139,log_only
